gene,log2FoldChange,pvalue,ctrl_mean,mut_mean,ctrl_detection_rate,mut_detection_rate,ctrl_cells,mut_cells,padj,time_point,abs_log2FC,-log10_padj,significant,regulation
Msi2,,1.513981552294177e-10,-10.326173,10.706302,0.14440743526377994,0.10349622566547477,9307,5034,1.7284622722025187e-09,p7,,8.762340095527463,False,not_significant
Map2,,3.089548424701424e-10,-18.189592,6.6521173,0.211990974535296,0.1617004370282082,9307,5034,3.2559087244930394e-09,p7,,8.48732777853856,False,not_significant
Fabp7,-1.4678202,7.767206748119788e-10,-132.57967,-47.93128,0.35500161169012573,0.2924116011124354,9307,5034,7.230670184036985e-09,p7,1.4678202,8.140821447692995,True,downregulated
Sox2,,8.871806070554889e-10,-21.880201,4.841204,0.19361770710218115,0.1466030989272944,9307,5034,7.230670184036985e-09,p7,,8.140821447692995,False,not_significant
Ntm,,8.855640626732705e-10,-14.316123,7.7436085,0.0739228537659826,0.04707985697258641,9307,5034,7.230670184036985e-09,p7,,8.140821447692995,False,not_significant
Pdgfra,,8.972364461943704e-10,-26.909151,2.0224657,0.10959492854840443,0.07647993643226063,9307,5034,7.230670184036985e-09,p7,,8.140821447692995,False,not_significant
Gpr17,,1.917405960161378e-09,-20.315884,5.4316664,0.04878048780487805,0.027612236789829162,9307,5034,1.4593589807894933e-08,p7,,7.835837864926666,False,not_significant
Trpc5,,8.83921384356626e-09,-18.707169,4.8110023,0.0900397550231009,0.06138259833134684,9307,5034,6.373538402992514e-08,p7,,7.1956193930575205,False,not_significant
Gria1,6.7146688,2.10202444004302e-08,-0.059152175,-6.2128,0.4858708498979263,0.48808104886769965,9307,5034,1.4398867414294688e-07,p7,6.7146688,6.841671667284373,True,upregulated
Nlgn1,,3.458370383878124e-08,-9.505546,8.232925,0.1078757924143118,0.07707588398887565,9307,5034,2.2561749647204903e-07,p7,,6.646627224162887,False,not_significant
Slc1a3,-3.278629,6.452666189145655e-08,-35.943943,-3.7039068,0.12173632749543355,0.0899880810488677,9307,5034,4.018251217786158e-07,p7,3.278629,6.3959629150024755,True,downregulated
Tuba1a,,8.508609213779847e-08,-13.786144,6.121839,0.07069947351455894,0.047278506158124754,9307,5034,5.068171575164518e-07,p7,,6.295148691167071,False,not_significant
Itpr2,,1.3936475082647114e-07,-13.964924,5.8697934,0.06328569893628452,0.04151767977751291,9307,5034,7.955404526344394e-07,p7,,6.099337731907734,False,not_significant
Dio2,,1.5252541435000176e-07,-14.566603,5.2682066,0.05984742666809928,0.03853794199443782,9307,5034,8.358392706380096e-07,p7,,6.077877228046748,False,not_significant
Aldh1l1,,2.264252933275646e-07,-20.340048,3.3927097,0.0501772859138283,0.03138657131505761,9307,5034,1.1930871225337059e-06,p7,,5.923327841783029,False,not_significant
Pou3f2,,2.604479056098863e-07,-13.463653,6.609133,0.09433759535833244,0.06853396901072706,9307,5034,1.3215319655020154e-06,p7,,5.878922327596032,False,not_significant
Bcl6,,4.0490812866144663e-07,-15.410864,5.0964103,0.08069195229397227,0.056615017878426696,9307,5034,1.981157629522078e-06,p7,,5.703080968727905,False,not_significant
Ptprm,,4.847674250506536e-07,-14.432047,5.4257917,0.20694101214139896,0.16607071911005164,9307,5034,2.2901081804117088e-06,p7,,5.640144001919429,False,not_significant
Rasgrp1,,8.099052167924799e-07,-17.617563,3.7870512,0.1071236703556463,0.08005562177195073,9307,5034,3.6985671566856583e-06,p7,,5.431966491194001,False,not_significant
Ngef,,9.385462511611023e-07,-7.2774925,8.534725,0.07671644998388309,0.05442987683750496,9307,5034,4.147768916421646e-06,p7,,5.382185447345317,False,not_significant
Apba1,,1.2811888917718295e-06,-22.038506,1.4003592,0.16170624261308691,0.12852602304330552,9307,5034,5.485089942898145e-06,p7,,5.260816246597185,False,not_significant
Olig2,,2.980352057473982e-06,-21.314726,0.49626368,0.1182980552272483,0.09058402860548272,9307,5034,1.2372976723452593e-05,p7,,4.907525804085707,False,not_significant
Ptprz1,-1.9620938,6.092188750396273e-06,-49.4262,-12.685516,0.20522187600730632,0.1684545093365117,9307,5034,2.454793702365557e-05,p7,1.9620938,4.609984999544614,True,downregulated
C1ql1,,6.580819560917008e-06,-20.361452,1.6725625,0.03341570860642527,0.02006356773937227,9307,5034,2.575920799558943e-05,p7,,4.589067494124063,False,not_significant
Slc25a18,,1.2236814830930213e-05,-12.170164,5.2187877,0.04007736112603417,0.025824394119984106,9307,5034,4.6567878662151084e-05,p7,,4.331913545324853,False,not_significant
Kcna2,,1.5269808786638867e-05,-7.943073,6.911792,0.10841302245621576,0.08462455303933254,9307,5034,5.5051679046566445e-05,p7,,4.259229430742394,False,not_significant
Adcy2,,1.5258401775060558e-05,-7.612358,6.275179,0.11378532287525518,0.08859753675009932,9307,5034,5.5051679046566445e-05,p7,,4.259229430742394,False,not_significant
Gfap,-0.25641447,2.0279850800856467e-05,-32.756844,-27.422915,0.2816159879660471,0.30214541120381405,9307,5034,7.123947589018811e-05,p7,0.25641447,4.147279284307566,False,not_significant
Gabra5,,2.6894702014635602e-05,-17.604733,1.4728603,0.14730847749006123,0.11958680969408025,9307,5034,9.211435440012694e-05,p7,,4.035672687381777,False,not_significant
Htra1,,2.8868882316780972e-05,-13.761857,3.7994707,0.18760073063285698,0.1541517679777513,9307,5034,9.646431408290227e-05,p7,,4.0156333194356675,False,not_significant
Ppp3cb,-3.0896688,3.6728003603556e-05,-30.26568,-3.555228,0.3428602127430966,0.29717918156535555,9307,5034,0.00011980324984969458,p7,3.0896688,3.921531400872867,True,downregulated
Sema3e,-3.3347216,3.960421832925172e-05,-28.058214,-2.78105,0.04695390566240464,0.03218116805721097,9307,5034,0.00012618088165366245,p7,3.3347216,3.89900644240806,False,not_significant
Atp1a3,0.8465839,4.384593964244923e-05,-4.9079823,-8.82572,0.5046739013645644,0.5174811283273738,9307,5034,0.0001365203120685351,p7,0.8465839,3.864802727648835,True,upregulated
Sox1,,4.901339456733475e-05,-14.570644,2.869872,0.08434511657891909,0.06416368692888359,9307,5034,0.0001492185567938858,p7,,3.826177164718238,False,not_significant
Cspg4,,5.5504046298064906e-05,-14.852997,2.52576,0.050929407972493825,0.03575685339690107,9307,5034,0.00016530552919206287,p7,,3.7817126197652606,False,not_significant
Snhg11,0.09583337,7.636066232751718e-05,-20.008947,-21.383213,0.16643386698184162,0.1871275327771156,9307,5034,0.00022258320720999688,p7,0.09583337,3.6525076041124427,False,not_significant
Top2a,-7.2271442,0.00011674027524480972,-18.86503,-0.12591293,0.08778338884710433,0.0677393722685737,9307,5034,0.0003331962022612277,p7,7.2271442,3.477299957284434,False,not_significant
Grm3,-1.6509708,0.00017800705451102625,-53.87562,-17.155388,0.24003438272268185,0.20381406436233612,9307,5034,0.000497693193224706,p7,1.6509708,3.303038298908709,True,downregulated
Srgap1,-4.621309,0.00019981554504072777,-21.724203,-0.88265574,0.2545395938540883,0.21911005164878825,9307,5034,0.0005474945934115941,p7,4.621309,3.261620165187578,True,downregulated
Cntn4,-1.9385146,0.00021003850384659944,-47.65194,-12.431672,0.08069195229397227,0.06376638855780692,9307,5034,0.000564221078960473,p7,1.9385146,3.2485506928966883,False,not_significant
Gabbr1,,0.00024069612635595756,-18.432749,2.6012955,0.566885140217041,0.5210568136670639,9307,5034,0.0006341417175147343,p7,,3.1978136754670494,False,not_significant
Frrs1l,,0.0003009689889352147,-11.525574,3.538188,0.2346620823036424,0.2018275725069527,9307,5034,0.0007779764430966869,p7,,3.1090335531234325,False,not_significant
Gabra1,,0.0003773479946217267,-10.41032,4.3166766,0.07155904158160524,0.05621771950735002,9307,5034,0.0009573458382069733,p7,,3.018931146347711,False,not_significant
Cenpf,,0.0005420070831878421,-15.313756,0.2515795,0.08638659073815408,0.06813667063965037,9307,5034,0.0013500903708497157,p7,,2.8696371602103476,False,not_significant
Kcnd2,,0.0005992952931676505,-8.689706,4.180344,0.1355968625765553,0.11362733412793008,9307,5034,0.0014661331279280023,p7,,2.8338265930649453,False,not_significant
Cd274,,0.0007688520386680833,-8.665176,4.0476694,0.047383689695927794,0.035160905840286055,9307,5034,0.0018479426192548668,p7,,2.7333115182500434,False,not_significant
Epha5,,0.000898175286283927,-6.97712,4.413267,0.05039217793058988,0.03774334525228447,9307,5034,0.0021215519693258277,p7,,2.673346325332672,False,not_significant
Zbtb20,-2.1069314,0.0009527006079181517,-23.591078,-5.476439,0.6622971956591812,0.6164084227254668,9307,5034,0.0021753330547464463,p7,2.1069314,2.6624742408862967,True,downregulated
Cntn1,-1.9797502,0.0009421169466420185,-34.172146,-8.663794,0.24067905877296658,0.21315057608263807,9307,5034,0.0021753330547464463,p7,1.9797502,2.6624742408862967,True,downregulated
Ncam2,,0.000989137956707797,-11.146342,3.071511,0.06747609326313528,0.05343663090981327,9307,5034,0.002221506558507675,p7,,2.6533524002626385,False,not_significant
Hcn1,,0.0010251467384122118,-15.147306,0.5657932,0.10658644031374234,0.08820023837902265,9307,5034,0.0022652435993947262,p7,,2.6448850880510175,False,not_significant
Bmpr1b,,0.0010595070265710385,-6.8207684,4.689404,0.017836037391210917,0.010727056019070322,9307,5034,0.0023040073434957503,p7,,2.6375161410324193,False,not_significant
Grin3a,-2.4415863,0.0011377404308259968,-25.288284,-4.6550965,0.052970882131728805,0.04012713547874454,9307,5034,0.0024354756097368993,p7,2.4415863,2.6134162153468683,False,not_significant
Egfr,-2.220284,0.0014696462033144924,-27.029427,-5.800491,0.06113677876866874,0.04747715534366309,9307,5034,0.003097561997755161,p7,2.220284,2.508979992453594,False,not_significant
Rnd3,,0.002182892738144348,-6.915178,4.528844,0.022671107768346407,0.015097338100913786,9307,5034,0.004531156138269328,p7,,2.3437909722899284,False,not_significant
Gad1,,0.0022602722458580334,-6.674651,3.966257,0.07069947351455894,0.05681366706396504,9307,5034,0.004621750711679859,p7,,2.3351934832319805,False,not_significant
Dlx1,,0.0023185555390490063,-14.186548,1.1326325,0.02621682604491243,0.018077075883988877,9307,5034,0.004671207483084028,p7,,2.33057084203415,False,not_significant
Gnal,-1.7956738,0.002767740297214485,-32.989006,-9.502055,0.10690877833888471,0.08939213349225268,9307,5034,0.005416863153119777,p7,1.7956738,2.2662521359091343,True,downregulated
Sall3,-2.2838693,0.0027372843603854923,-27.085674,-5.561942,0.06790587729665842,0.05462852602304331,9307,5034,0.005416863153119777,p7,2.2838693,2.2662521359091343,False,not_significant
Trim25,,0.002857020098904108,-7.714981,2.9801683,0.056838938433437194,0.044497417560588004,9307,5034,0.005512841599293842,p7,,2.258624485942809,False,not_significant
Cntnap2,-2.193984,0.003460533436684492,-26.937866,-5.8871922,0.06833566133018158,0.055224473579658324,9307,5034,0.006584626122580214,p7,2.193984,2.181468879397722,False,not_significant
Sdc3,,0.003729524606641009,-11.178795,2.200818,0.2511013215859031,0.22427493047278507,9307,5034,0.006999244809723537,p7,,2.15494881608043,False,not_significant
Prkca,,0.004420302290309458,-11.399107,2.6399117,0.2840872461588052,0.2500993245927692,9307,5034,0.008183532618545888,p7,,2.0870591822018993,False,not_significant
P2ry12,,0.00466098094388571,-6.8258014,3.5849125,0.022026431718061675,0.015097338100913786,9307,5034,0.008514058524164564,p7,,2.0698633688835275,False,not_significant
Calm1,-2.0334861,0.005218826239444988,-35.317738,-8.626857,0.5082196196411304,0.46940802542709575,9307,5034,0.009407620984262677,p7,2.0334861,2.0265201878409633,True,downregulated
Trpc4,,0.00619896227374739,-7.4376345,2.9234362,0.13516707854303212,0.11740166865315853,9307,5034,0.011029322487057045,p7,,1.9574511647284132,False,not_significant
Kcnip3,,0.006748417848175754,-7.2838564,2.5796921,0.11722359514344043,0.09952324195470799,9307,5034,0.011852990323077928,p7,,1.9261720701619196,False,not_significant
Sp9,,0.006869610529570032,-7.4198394,3.4441688,0.01665413129902224,0.01092570520460866,9307,5034,0.011913122057608791,p7,,1.9239744085669612,False,not_significant
Sall1,,0.007380045862224308,-7.4325213,2.6922636,0.10239604598689159,0.08700834326579261,9307,5034,0.012638328539059128,p7,,1.8983103591440593,False,not_significant
Cck,,0.00921352893664782,-10.1593895,1.3784205,0.024282797894058235,0.01748112832737386,9307,5034,0.015583376102725324,p7,,1.8073384475655356,False,not_significant
Sema4a,,0.009550664785662933,-3.3292184,4.7621555,0.036316750832706565,0.02800953516090584,9307,5034,0.015956598483363678,p7,,1.7970596829946919,False,not_significant
Rgs4,-3.4453752,0.010435054720091331,-15.547795,-1.4272746,0.10776834640593103,0.09316646801748113,9307,5034,0.017224126465692918,p7,3.4453752,1.7638627944275471,False,not_significant
Pak3,-1.8196094,0.012043659271717414,-30.93073,-8.762604,0.21833028902976254,0.1950735001986492,9307,5034,0.019642634764586733,p7,1.8196094,1.7068002585564621,False,not_significant
Myc,,0.015644931263926694,-3.6975076,3.9992478,0.03642419684108735,0.028605482717520857,9307,5034,0.025215948037152436,p7,,1.5983246991461706,False,not_significant
Rab3a,,0.017350723887372112,-3.9094381,3.778974,0.1714838293757387,0.15295987286452126,9307,5034,0.027640106657790455,p7,,1.558460285436751,False,not_significant
Unc13c,-3.086769,0.01839928660562652,-15.621494,-1.838707,0.04480498549478887,0.03635280095351609,9307,5034,0.02897358925253831,p7,3.086769,1.5379977009986603,False,not_significant
Npy,,0.01943990491519621,1.4648232,-5.7313695,0.012678628988933061,0.01748112832737386,9307,5034,0.0302643974247941,p7,,1.519067968627096,False,not_significant
Gabra3,,0.021298217197458693,1.666418,-4.517746,0.013860535081121736,0.018871672626142234,9307,5034,0.03242061951168712,p7,,1.4891786906615758,False,not_significant
Ndnf,,0.02107279451890485,2.8627548,-4.4918184,0.04211883528526915,0.05025824394119984,9307,5034,0.03242061951168712,p7,,1.4891786906615758,False,not_significant
Jam2,,0.023876741655793,-7.93735,1.6393234,0.07596432792521758,0.06515693285657528,9307,5034,0.03594630337190814,p7,,1.4443457647450226,False,not_significant
Epha4,,0.025340004804580683,-5.608126,6.5188966,0.3950789728161599,0.3498212157330155,9307,5034,0.03773457237203863,p7,,1.4232605672975,False,not_significant
Stx1b,,0.028770897010462215,-5.0531583,3.9656546,0.2982701192650693,0.27413587604290823,9307,5034,0.042382934305734664,p7,,1.372808978992048,False,not_significant
Prox1,-1.8409083,0.03206462304019645,-22.209576,-6.1997137,0.12098420543676802,0.10528406833531982,9307,5034,0.046732482516030995,p7,1.8409083,1.3303811478355945,False,not_significant
Prkcb,,0.04021216192421207,-3.6041682,2.9245818,0.02944020629633609,0.023440603893524037,9307,5034,0.057990170353863724,p7,,1.236645615451917,False,not_significant
Nrcam,-2.684719,0.043524271125033,-14.616005,-2.2732527,0.19189857096808854,0.17500993245927693,9307,5034,0.06211276191801584,p7,2.684719,1.2068191589031358,False,not_significant
Stmn2,-1.6534848,0.059949459578546395,-27.482399,-8.735869,0.25883743418931987,0.23579658323400873,9307,5034,0.08467088620887481,p7,1.6534848,1.072265894656006,False,not_significant
Epha6,-1.9655784,0.06113920932857738,-18.107744,-4.636244,0.13688621467712475,0.12256654747715534,9307,5034,0.0854701191634194,p7,1.9655784,1.0681856905420961,False,not_significant
Slc6a11,-1.363828,0.06446858257417343,-41.551643,-16.14489,0.25830020414741595,0.23678982916170044,9307,5034,0.08921409911779556,p7,1.363828,1.0495665056553842,False,not_significant
Gng4,-0.5413892,0.06889257998115181,-39.982937,-27.472633,0.06554206511228108,0.07290425109257052,9307,5034,0.09438283457417798,p7,0.5413892,1.0251069837483342,False,not_significant
Gng3,-3.2102358,0.08809836256540038,-11.020169,-1.1907238,0.07875792414311808,0.07052046086611045,9307,5034,0.11949975912336487,p7,3.2102358,0.9226329701258761,False,not_significant
Negr1,,0.09052427216249631,-2.8355787,2.4122105,0.06607929515418502,0.05820421136273341,9307,5034,0.12158652241433328,p7,,0.9151145629373101,False,not_significant
Hspd1,,0.09705104860160209,-5.7061715,0.43053797,0.041903943268507576,0.03575685339690107,9307,5034,0.12908731707203386,p7,,0.8891164254036804,False,not_significant
Nrxn1,,0.10113952293515133,-2.1809533,2.802308,0.021381755667776944,0.01728247914183552,9307,5034,0.13323187155880512,p7,,0.8753918713639409,False,not_significant
Sptan1,-3.4593604,0.10740108928702177,-21.293741,-1.9358904,0.5149887181691201,0.4727850615812475,9307,5034,0.14013284983163793,p7,3.4593604,0.8534600458112258,False,not_significant
Itga4,-2.5486548,0.11601317001540686,-10.16896,-1.7380209,0.03825077898356076,0.032777115613825986,9307,5034,0.149941549925573,p7,2.5486548,0.824078004223235,False,not_significant
Nfia,-0.7711062,0.12114781284523457,-6.377443,-3.7369776,0.36628344257010853,0.3543901470003973,9307,5034,0.15511448934389846,p7,0.7711062,0.8093476325655538,False,not_significant
Gnai1,-0.4417461,0.15202621513060105,-17.968073,-13.228868,0.18803051466638016,0.1920937624155741,9307,5034,0.19284806919344763,p7,0.4417461,0.7147847049588366,False,not_significant
Neurod1,-3.0150926,0.16828674253033704,-6.915068,-0.85538805,0.11217363274954335,0.10131108462455304,9307,5034,0.20959348842414705,p7,3.0150926,0.6786222139850177,False,not_significant
Laptm5,,0.16679412116517323,-2.1295598,1.525729,0.046846459654023856,0.04131903059197457,9307,5034,0.20959348842414705,p7,,0.6786222139850177,False,not_significant
Hpgds,,0.19104156514038362,-1.6536125,2.2073753,0.022671107768346407,0.01926897099721891,9307,5034,0.230969364711627,p7,,0.6364456201901456,False,not_significant
Fgf12,-3.0513813,0.19129704956659677,-8.509118,-1.026425,0.04727624368754701,0.04231227651966627,9307,5034,0.230969364711627,p7,3.0513813,0.6364456201901456,False,not_significant
Mfge8,-1.6985548,0.19054563999079044,-14.692527,-4.526688,0.1288277640485656,0.11839491458085022,9307,5034,0.230969364711627,p7,1.6985548,0.6364456201901456,False,not_significant
Cdc42,,0.19219348596441954,3.2767007,-1.5669941,0.02482002793596218,0.02840683353198252,9307,5034,0.230969364711627,p7,,0.6364456201901456,False,not_significant
Gap43,-0.6482338,0.2089368213167404,-31.209997,-19.913881,0.10626410228859998,0.11203814064362336,9307,5034,0.2489073436555951,p7,0.6482338,0.6039622899641127,False,not_significant
Nectin3,-1.2414935,0.22136614852651926,-27.72991,-11.727939,0.10755345438916944,0.09793404847040127,9307,5034,0.26144105472528567,p7,1.2414935,0.5826262130804833,False,not_significant
Mrc1,,0.27146861398060496,-1.5860134,1.672242,0.017836037391210917,0.015295987286452126,9307,5034,0.3178735052593409,p7,,0.4977456689999434,False,not_significant
Grin2a,-5.3095827,0.2961171143219088,-5.752794,-0.1450558,0.18974965080047276,0.17580452920143028,9307,5034,0.3437969886618772,p7,5.3095827,0.4636979316433162,False,not_significant
Prkcg,-1.4917053,0.3048550157274088,-10.778703,-3.8328204,0.06188890082733427,0.056615017878426696,9307,5034,0.35096753911474793,p7,1.4917053,0.45473304944660686,False,not_significant
Ubc,-1.0868887,0.326506097717132,-110.6663,-52.098988,0.9536907703878801,0.9366309098132698,9307,5034,0.37276112822705904,p7,1.0868887,0.42856938246795384,False,not_significant
Pak6,2.0683262,0.39337817604292014,-0.60287243,-2.5284457,0.023423229827011928,0.02562574493444577,9307,5034,0.4453951249411575,p7,2.0683262,0.35125454083305635,False,not_significant
Rras2,-2.616738,0.417026738166409,-5.9900765,-0.9765978,0.06543461910390029,0.06158124751688518,9307,5034,0.4683005174491642,p7,2.616738,0.3294753623434966,False,not_significant
Fxyd7,-1.2783546,0.44529221255298634,-24.887941,-10.260438,0.0444826474696465,0.041716328963051254,9307,5034,0.49597587902243195,p7,1.2783546,0.30453944419968926,False,not_significant
Nxph1,,0.48525619682638077,-0.14147975,1.73703,0.041044375201461265,0.03853794199443782,9307,5034,0.5361298303646304,p7,,0.2707300278757349,False,not_significant
Gria2,-3.5188992,0.5641300537224812,-15.8397875,-1.3818318,0.6053508112173632,0.5699245133094955,9307,5034,0.6182865388798393,p7,3.5188992,0.20881020870708472,False,not_significant
Fgf13,1.5952069,0.6036528742148832,0.34065756,1.0292554,0.031374234447190286,0.029598728645212555,9307,5034,0.6462638983902343,p7,1.5952069,0.1895901039687456,False,not_significant
Bmerb1,-2.6341796,0.6038086057952554,-2.4995267,-0.40261573,0.04201138927688836,0.039928486293206195,9307,5034,0.6462638983902343,p7,2.6341796,0.1895901039687456,False,not_significant
Cntn6,-1.3737559,0.5996365601422763,-6.2704883,-2.4196894,0.021918985709680885,0.020460866110448946,9307,5034,0.6462638983902343,p7,1.3737559,0.1895901039687456,False,not_significant
Kcnj2,,0.7396734938642492,-0.9133343,0.044503625,0.027721070162243473,0.026618990862137464,9307,5034,0.7855447182899391,p7,,0.10482908706733268,False,not_significant
Camk4,-0.7348885,0.7726786461151149,-17.718012,-10.646124,0.03148168045557108,0.03218116805721097,9307,5034,0.8142844193674673,p7,0.7348885,0.08922387497932234,False,not_significant
Grik1,-1.3394281,0.8249330528250701,-4.081128,-1.6127691,0.051574084022778556,0.05045689312673818,9307,5034,0.8627162460842336,p7,1.3394281,0.06413202354748901,False,not_significant
Rac3,,0.8410499042477333,0.0009921967,-0.40973946,0.022563661759965617,0.023043305522447356,9307,5034,0.872907855166208,p7,,0.05903159833903821,False,not_significant
Etv4,-0.69832045,0.9076880725941889,-11.631773,-7.1685367,0.028365746212528204,0.02840683353198252,9307,5034,0.9349869619955179,p7,0.69832045,0.029194445141258556,False,not_significant
Crmp1,-1.0777024,0.933070723402106,-16.820436,-7.9692326,0.29794778123992693,0.2888359157727453,9307,5034,0.9493836027479393,p7,1.0777024,0.022558273457752607,False,not_significant
Stxbp1,-2.012442,0.9355239881092833,-19.004929,-4.7104325,0.5622649618566671,0.533969010727056,9307,5034,0.9493836027479393,p7,2.012442,0.022558273457752607,False,not_significant
Hes5,-0.98086643,0.9845528503798431,-25.212683,-12.774645,0.06543461910390029,0.06515693285657528,9307,5034,0.9845528503798431,p7,0.98086643,0.006760966156358021,False,not_significant
Ccnd2,-1.3989977,0.9776559264721904,-5.124605,-1.9432119,0.23186848608574193,0.22268573698847835,9307,5034,0.9845528503798431,p7,1.3989977,0.006760966156358021,False,not_significant
Gnao1,-0.23752256,0.0,43.610237,36.99023,0.24216560509554141,0.7259768985008601,7850,4069,0.0,p30,0.23752256,300.0,False,not_significant
Ap2b1,0.24173808,0.0,30.246859,35.764378,0.07299363057324841,0.3843696239862374,7850,4069,0.0,p30,0.24173808,300.0,False,not_significant
Sfxn5,2.5864465,0.0,8.101829,48.661,0.13796178343949045,0.5419021872695994,7850,4069,0.0,p30,2.5864465,300.0,True,upregulated
Atp6v1a,1.4528455,0.0,15.674286,42.907955,0.07414012738853504,0.3816662570656181,7850,4069,0.0,p30,1.4528455,300.0,True,upregulated
Efhd2,1.1933953,0.0,16.954462,38.773212,0.09019108280254777,0.41410666011304986,7850,4069,0.0,p30,1.1933953,300.0,True,upregulated
Cplx1,,0.0,-1.858118,56.71525,0.10356687898089172,0.46424182845908085,7850,4069,0.0,p30,,300.0,False,not_significant
Shank1,2.5873656,0.0,10.217482,61.407093,0.1329936305732484,0.6087490783976407,7850,4069,0.0,p30,2.5873656,300.0,True,upregulated
Shank2,0.98633265,0.0,25.410915,50.342644,0.017070063694267515,0.2646841975915458,7850,4069,0.0,p30,0.98633265,300.0,True,upregulated
Ubc,-2.2708564,0.0,-55.849266,-11.572351,0.9035668789808917,0.41828459080855246,7850,4069,0.0,p30,2.2708564,300.0,True,downregulated
Kcnq2,0.3388479,0.0,41.330715,52.272865,0.04203821656050955,0.4374539198820349,7850,4069,0.0,p30,0.3388479,300.0,False,not_significant
Ndrg4,4.404671,0.0,2.734603,57.920525,0.04496815286624204,0.31924305726222657,7850,4069,0.0,p30,4.404671,300.0,True,upregulated
Atp6v0e2,0.75617003,0.0,30.200941,51.009415,0.056560509554140125,0.44556402064389283,7850,4069,0.0,p30,0.75617003,300.0,True,upregulated
Shank3,0.20805526,0.0,35.378677,40.866974,0.06382165605095541,0.4241828459080855,7850,4069,0.0,p30,0.20805526,300.0,False,not_significant
Nfasc,0.28726298,0.0,28.0642,34.247387,0.12917197452229298,0.4976652740231015,7850,4069,0.0,p30,0.28726298,300.0,False,not_significant
Cadm3,-0.58934265,0.0,51.305084,34.0997,0.057834394904458596,0.40869992627181123,7850,4069,0.0,p30,0.58934265,300.0,False,not_significant
Mast3,,0.0,-13.481114,58.994953,0.14369426751592357,0.5382157778323913,7850,4069,0.0,p30,,300.0,False,not_significant
Slc17a7,,0.0,-17.67931,65.99109,0.1043312101910828,0.4718604079626444,7850,4069,0.0,p30,,300.0,False,not_significant
Dpysl2,-0.6348276,0.0,50.876656,32.76547,0.16522292993630575,0.6099778815433767,7850,4069,0.0,p30,0.6348276,300.0,False,not_significant
Glg1,-0.25285354,0.0,45.553436,38.23003,0.10165605095541401,0.5239616613418531,7850,4069,0.0,p30,0.25285354,300.0,False,not_significant
Src,0.28524092,0.0,36.90367,44.97132,0.09121019108280255,0.5195379700172033,7850,4069,0.0,p30,0.28524092,300.0,False,not_significant
Fbxo31,1.2958499,5.4018277286603e-310,16.668943,40.925854,0.06178343949044586,0.3472597689850086,7850,4069,1.2475649754286927e-308,p30,1.2958499,299.9999999945819,True,upregulated
Ap2a1,0.45086804,2.4238602792234393e-307,26.248613,35.878242,0.08866242038216561,0.40820840501351685,7850,4069,5.3435101610153095e-306,p30,0.45086804,299.99999767934924,False,not_significant
Grk3,-0.18250221,7.18961227343165e-298,33.702477,29.697725,0.04114649681528663,0.2880314573605308,7850,4069,1.5160704141801524e-296,p30,0.18250221,295.8192519822273,False,not_significant
Llgl1,-0.63155055,3.57650088400227e-287,43.523655,28.093748,0.010573248407643312,0.1946424182845908,7850,4069,7.227512203087921e-286,p30,0.63155055,285.1410111663845,False,not_significant
